DateTime,From,Value_IN
2020/12/20 10:02,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2020/12/20 10:03,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:49,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:49,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:49,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:50,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:52,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/15 13:53,0x43ce646a81824798cdfbb638c51231ba8c1e9558,10.0
2021/2/25 11:40,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/25 11:40,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:07,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:08,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
2021/2/28 11:24,0x43ce646a81824798cdfbb638c51231ba8c1e9558,1.0
