DateTime,From,Value_IN
2020/9/25 19:39,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/9/27 15:19,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/9/27 15:20,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/9/30 20:34,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/9/30 20:36,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/9/30 20:37,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/9/30 20:39,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/10/6 9:51,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/10/6 9:54,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/10/6 9:56,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/10/20 0:41,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/10/20 0:41,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/10/30 13:35,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/10/30 13:35,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/11/4 10:17,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/11/5 21:26,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/11/10 22:25,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/11/18 23:37,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/11/20 0:43,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/11/29 15:53,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/11/29 15:54,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/11/30 14:32,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/11/30 14:34,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/1 15:39,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/1 15:40,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/3 12:54,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/12/9 17:32,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/9 19:17,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/9 19:30,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/15 22:28,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
2020/12/27 13:32,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/29 16:50,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/29 16:53,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/31 13:02,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/31 13:02,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,1.0
2020/12/31 17:25,0x2ad9e043d35a2f194fd9dd051f8186c819cb61e3,10.0
