From,Total_Value_IN
0x00bc9ee253bb9cfe148899334f01fa0664669064,0.1
0x70631b7376f4956185dac1b9cb4e9f83ccbc2764,0.1
0x7280342563e2d76cd730d8baaff894114944a48c,0.1
0xc28c05f15f46aeb09ed1c6a5672f80f97aea20dc,0.1
0xc281f3e0133f0f2966432f1d5bd35afd0cb9e462,0.1
0xc27d06d0de68033f46e8e8c7fd87855789158f4f,0.1
0xc27cac06d2fbd91b2fec6d0b39b557eae11a97fc,0.1
0xc2797806d987a830d669d64ad406973c5e7c2c44,0.1
0x00b8bd9072180d04e161ea2aefc5b1d64219c5e4,0.1
0x00ac60244df04dfc07146f037d14f93320af57c9,0.1
0xe6e48327cd6d952d8e6ee5e408ca4051af3aca06,0.1
0x2da695b1575f3b60afc1485db1da06b7ce42e76c,0.1
0x2da4723c6ceb463c300b3b763542154a522fc490,0.1
0xb284fe401edce19cadd399ea271264d789590e96,0.1
0xb283400b30275d87b5bacc212efb173920abba6e,0.1
0xff497607031f772f603165cba26f594101baedfb,0.1
0xff476476ae03945e45ad82bd0106b8346813f3ed,0.1
0xff4323e0de70402d4d3f78b9f76e71dff8ff12da,0.1
0xff40be038db781e8ab1484e3805c3eca32e18d2f,0.1
0xff37f7f3c4f3811ddf1a98678a6d0d36cf677163,0.1
0x705cbb172d18d992ab7a851ad33ca4c9c50ba11f,0.1
0xc388750a661cc0b99784bab2c55e1f38ff91643b,0.1
0xc37d9a698c10be0f524043bf8c87e23de1ad41f8,0.1
0xc3706d1160cab40fa4754af1daaac5a032de36a3,0.1
0x7054151691d19dcc0ebb76e575416834e1ebc59e,0.1
0x7051bb100923fe6c949e19b7c8e7dff7d9deb2f2,0.1
0xc3a15f888f1f1b3b8784486e7c3186ecb04504ed,0.1
0xa739f348725b229364394f832849d38b2b8b4160,0.1
0xa73265b65e33265b10c58f06f2f77a7c3eaf8828,0.1
0xa7266f4590d6207e320204ccf6f445170b8abe9d,0.1
0xa71f9d5fd03e39863b52cf342f0e8c3e51d3d8d2,0.1
0xff14ba529d203823f4b6d4a7f23c1568333ae60b,0.1
0xa6816a2402648afd5233b317f52328fd965aff3c,0.1
0xa67b56dad679905a4a3fdb4cf87cedbdad5a33a2,0.1
0xa679b33e76c5618ba4385f921109d1b92d3143ec,0.1
0xa67784d9959ec6107afef4aa3e049393becb47b0,0.1
0xa6725da95b5d909066062118ef52723f66dfa650,0.1
0xa6707ba12df909750b2a7b8f1c61f5c7d91a30ff,0.1
0x011c5653a7ef1ea218d5adca8ef4677fb465ccc3,0.1
0xc39ab99decb5b29cdce5911b32788378b6305f74,0.1
0x72866e0fb4a66bc5e15e15e763b447b77ac30d59,0.1
0xc26fb8637c4a6690aec561f6da48ba734cfa9a1c,0.1
0x0106ef583b4efea9a0898487514cd139bebc1d59,0.1
0x00f8f1863b6b9691d1007863f0ee0f536b2a5b9b,0.1
0x00f051cb90271d686e2cb9b6e2962579b6d68033,0.1
0x00e97bf0997013cc741dbcaafba8f439d474c879,0.1
0x00e2eb1b7007bd81e892ba99c628a26d8a464611,0.1
0xc3d2d90b03315d6c0354de11ed577ddd543390f7,0.1
0xc3c67792012f2f30ccf4cacfb37a8dcf4a0d5b54,0.1
0xc3c4efabf7f929fa4f517ebcbc1b4789702567ca,0.1
0xc3bdeac3063d0bb689df792acd20a10a4f70c879,0.1
0xc3b02b0bdd01c8337c9caa4a33dc174b9ce90e9c,0.1
0x72af16b4df0a8c17e13b33632e013f57f8874f5b,0.1
0x729f2ff863f33bc91a417d43ff640753a3ae95b2,0.1
0xa7553de899cda785a55d8eb2ead1ab08cb4115fd,0.1
0x016f1fd5a6063f1f83306eb93da224cae1d54ac3,0.1
0x015c55e6d0271d03c1880229704e82273dc2b4c4,0.1
0x0153ba43f36c7745fc45dff183b9ec761c736ce7,0.1
0xc25d30f7adfbc9b82c9cba2f5525f27d06770433,0.1
0x703b16787180a94c2f9f2510f08edb59aa899568,0.1
0x702d4960c5042e605a1dae7b005784a9cb0f0137,0.1
0x700d7b5a125bcb6fa3b0107a65f6b57705f07a71,0.1
0x70041ec5297938e75da9b515dae3a48e6f48267e,0.1
0x72d0edb2dcc66bbdc69db1c6b54599402d51f7d6,0.1
0x72c3f2b0e627558f4b29065107c50db4018d2ded,0.1
0xc2549f70386f2878e592cc31d263fca14282f3df,0.1
0x6faaa91033651439a867a08ccb8ecdb0a7e280da,0.1
0x6fa960b0de70e652cde54124ab299923ad230387,0.1
0xfefe4a326a791048fb7e6cb07c695041aa999361,0.1
0xfefb56221a7628d98a3a0341211a2addc5be2de4,0.1
0xfefa9f3376b39184fc41d40a5e9d33773673c07b,0.1
0xfef6d723d51ed68c50a48f6a29f8f8bc15ef0943,0.1
0xa663473951a57fe34c0a8f4e3d869a29593cf5bc,0.1
0xa66292c0c7106ebecfa8d8845c59f7becd54b061,0.1
0xa65e80dfe64cd7f308e6eed83a89d8257e69aa60,0.1
0xa75cac5eed09f0940b8f20f75fa19f86a235eba2,0.1
0x6fe6a5c6ecb011733a9d39db3d4d37bbc1d0c8e8,0.1
0x6fd6a97e27140e9e7de4d34fff960036419bc65c,0.1
0xc3f020b5eeb42716c878c2c830c93d1e016b9a1c,0.1
0xe72b3fe1aa746c443180f9f6abc47f29c49e1920,0.1
0xe71ba8ec2fa3dc20de946b84ceaa243ae7ccf2fb,0.1
0xe70dd5c01df9acf6a89eae8309c3b7a1a51c9f94,0.1
0x91a9889265c33175c584873067752434e2423eac,0.1
0x9190b7261d9e50a63573ceb325103ecf661ea7a5,0.1
0x918f237e818df37a74b161a2badcad6c4c75bae3,0.1
0x918530080942eeb46bb1271117f1843cd4a7d97d,0.1
0x92192a2eda28dfdac3b3e8419eee5e420cf921f3,0.1
0x92179cde24efa533e3ad3747fc6e8e3c6ee83562,0.1
0xe703a1fea0eae2d6963f4478df64ac1456ac315d,0.1
0xa653f9d1a2b99bd6d647c9202fa4f24da806e44c,0.1
0xa648e5e7d0edcfa76c00b7d405342f2cd97852d6,0.1
0xa7868550a0b397da722d9705aa49b7299b8a33ef,0.1
0xa7838fad993c1437395db9ddefbb4ff4846a8bf8,0.1
0xa77a82cfebd23c60af8b6a3492d58960659963ca,0.1
0x0178f1945938eb4b70a432503bf8c9c4b0040a7d,0.1
0x019c73591b1bd5e95de58e208b0ebe38b4db69ac,0.1
0x01984a44e9def40513d545b8087811960a8c2b68,0.1
0x018a8263d024e500ff69a70d7b58bb05e0f40adb,0.1
0x72e87b56ff26215bc0b4566a06315e4672eccf8a,0.1
0x72e403d3941214c29eb132a4960dc9b6ff747624,0.1
0x72d1f97b8504eb63d93705c8eaa68002a39bd613,0.1
0x6f634c3306e9e8e2c97cc1745b8916bb0536130e,0.1
0x6f9f95abdba1629a15d7d2adadcae3595c867ca1,0.1
0xc41a319a185ecc5958f1df26f76a336c86d278aa,0.1
0xc4192029059e1d3a522751ccfc3e2bf7f3c1172e,0.1
0xc3fa07ee6eddb1d053bb3a43fb069534e756bce2,0.1
0x6f8f1635fd8cdfb4f35781714c09574ebbcad1f1,0.1
0x2d8f3d7d27f0479520c28ecb0db0a28952dc9d39,0.1
0x2d886f3c23dd3c3ecf0f2204689bf1f5b01991bf,0.1
0x2d83b389de5dc511afa1865f1758ae06cd6233a3,0.1
0x2d77800af947ee4f15874e2c28662987e8bcf81e,0.1
0xc22060a0e86cc0ee5c24407303aec752e2791c3a,0.1
0x6f08216ab614285674b0e55d3069692f4b791932,0.1
0x6ef27c1a7e9d1cb80b28debcef3b28327ddfce01,0.1
0xa621338f9069de13b8d8dd531d9e4fb941f14fa8,0.1
