address,total_decisions,correct_decisions,accuracy,consistency,total_reputation,last_update
0x9a982767d77CC8eB537eC6c412db6a4281D1b64d,8,0,0,50,50,1763639182
0x00489559D3dc30DC1Cbf431281FC6F232d35e20e,6,0,0,50,50,1763639182
0x80bc4E147aCC02640F37B63d6269E1CF9812cd2B,6,0,0,50,50,1763639182
0x1fd000468D9E73c53e84bC42fB0F86E83fA96792,1,0,0,50,50,1763639182
