user,ratio,overtimes,intercepted_times,complete_progress,complete_time,max_performance_process
user3,2.5641025641025643,0,1,2.53,38,70.03333333333333
user2,0.4608294930875576,0,1,5.560000000000001,216,23.78048780487805
user1,0.1141552511415525,0,0,10.4,876,"12.995260663507109,11.361204013377927"
user0,0.08525149190110827,0,0,10.100000000000001,1173,"22.066350710900473,5.1195767195767194"
